LOC119724510	T-box protein 1
LOC119729524	uncharacterized LOC119729524
LOC119729525	solute carrier family 49 member 4 homolog
LOC119729526	solute carrier family 49 member 4 homolog
LOC119729527	zinc finger E-box-binding homeobox 1-like
LOC119729529	solute carrier organic anion transporter family member 4A1-like
LOC119729530	kelch-like protein 18
LOC119729531	uncharacterized LOC119729531
LOC119729532	uncharacterized protein C7orf31-like
LOC119729533	uncharacterized LOC119729533
LOC119729534	scavenger receptor cysteine-rich type 1 protein M130-like
LOC119729535	scavenger receptor cysteine-rich type 1 protein M130-like
LOC119729536	uncharacterized LOC119729536
LOC119729538	transmembrane protein 232-like
LOC119729539	endothelin-converting enzyme 2-like
LOC119729540	transcription elongation factor SPT4-A-like
LOC119729541	complex III assembly factor LYRM7-like
LOC119729542	collagen alpha-1(I) chain-like
LOC119729543	proteasome subunit alpha type-2-like
LOC119729544	39S ribosomal protein L32, mitochondrial-like
LOC119729545	mucin-5AC-like
LOC119729546	uncharacterized LOC119729546
LOC119729547	succinate dehydrogenase assembly factor 3, mitochondrial-like
LOC119729549	alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase-like
LOC119729550	uncharacterized LOC119729550
LOC119729551	protein FAM214A-like
LOC119729552	uncharacterized LOC119729552
LOC119729553	uncharacterized LOC119729553
LOC119729555	suppressor of tumorigenicity 14 protein homolog
LOC119729557	monoacylglycerol lipase ABHD2-like
LOC119729558	dnaJ homolog subfamily C member 9-like
LOC119729559	protein lifeguard 1-like
LOC119729561	metal transporter Nramp3-like
LOC119729562	high affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A-like
LOC119729563	ATP synthase lipid-binding protein, mitochondrial-like
LOC119729565	TGF-beta receptor type-2-like
LOC119729566	WD repeat-containing protein 49-like
LOC119729567	protein disulfide-isomerase A5-like
LOC119729568	ovoinhibitor-like
LOC119729569	CDC42 small effector protein 2-like
LOC119729570	uncharacterized LOC119729570
LOC119729572	C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8
LOC119729573	uncharacterized LOC119729573
LOC119729574	ATP-dependent RNA helicase DHX30-like
LOC119729575	bifunctional purine biosynthesis protein ATIC-like
LOC119729576	thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 2
LOC119729577	SAC3 domain-containing protein 1-like
LOC119729578	uncharacterized LOC119729578
LOC119729579	transforming growth factor-beta-induced protein ig-h3-like
LOC119729580	uncharacterized LOC119729580
LOC119729581	uncharacterized LOC119729581
LOC119729582	carnosine N-methyltransferase-like
LOC119729583	tyrosine kinase receptor Cad96Ca-like
LOC119729584	transmembrane protein 267-like
LOC119729585	protein ANKUB1-like
LOC119729586	protein mono-ADP-ribosyltransferase PARP4-like
LOC119729587	atrial natriuretic peptide-converting enzyme-like
LOC119729588	bone morphogenetic protein receptor type-2-like
LOC119729589	fibropellin-1-like
LOC119729590	PTB domain-containing engulfment adapter protein 1-like
LOC119729591	dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A-like
LOC119729592	uncharacterized LOC119729592
LOC119729593	sclerostin domain-containing protein 1-like
LOC119729594	T-complex protein 1 subunit epsilon-like
LOC119729595	testis-expressed protein 49-like
LOC119729596	multiple epidermal growth factor-like domains protein 6
LOC119729597	kinesin-like protein KIF28P
LOC119729598	carbohydrate sulfotransferase 15-like
LOC119729599	phosphopantothenate--cysteine ligase-like
LOC119729600	solute carrier family 46 member 3-like
LOC119729601	phosphatidylcholine transfer protein-like
LOC119729602	double-stranded RNA-specific editase 1-like
LOC119729603	dynein heavy chain 6, axonemal-like
LOC119729604	guanine deaminase-like
LOC119729605	aqualysin-1-like
LOC119729606	D site-binding protein-like
LOC119729607	uncharacterized LOC119729607
LOC119729608	uncharacterized LOC119729608
LOC119729609	uncharacterized LOC119729609
LOC119729610	ectopic P granules protein 5 homolog
LOC119729611	TBC1 domain family member 5-like
LOC119729614	probable indole-3-acetic acid-amido synthetase GH3.8
LOC119729615	mitochondrial import inner membrane translocase subunit Tim22-like
LOC119729616	protein prune homolog 2-like
LOC119729617	alpha-mannosidase 2-like
LOC119729618	RNA polymerase-associated protein LEO1-like
LOC119729619	heat shock cognate 71 kDa protein-like
LOC119729621	DAZ-associated protein 2-like
LOC119729622	low-density lipoprotein receptor-related protein 2-like
LOC119729623	transducin beta-like protein 2
LOC119729624	D-ribitol-5-phosphate cytidylyltransferase-like
LOC119729625	INO80 complex subunit D-B-like
LOC119729626	60S ribosomal protein L23
LOC119729627	protein NCBP2AS2 homolog
LOC119729628	protein adenylyltransferase SelO, mitochondrial-like
LOC119729629	caskin-1-like
LOC119729630	dihydrofolate reductase-like
LOC119729631	uncharacterized LOC119729631
LOC119729632	DNA polymerase delta subunit 4-like
LOC119729633	arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1-like
LOC119729634	signal peptide peptidase-like 2B
LOC119729635	protein ERGIC-53-like
LOC119729636	cytoplasmic dynein 1 intermediate chain 2-like
LOC119729637	cysteine dioxygenase type 1-like
LOC119729638	ATP-dependent zinc metalloprotease YME1L1-like
LOC119729639	X-linked retinitis pigmentosa GTPase regulator-interacting protein 1-like
LOC119729640	U4/U6 small nuclear ribonucleoprotein Prp3-like
LOC119729641	isochorismatase domain-containing protein 1-like
LOC119729642	complexin-4-like
LOC119729643	protein KTI12 homolog
LOC119729644	rab GTPase-binding effector protein 1-like
LOC119729645	deoxyuridine 5'-triphosphate nucleotidohydrolase-like
LOC119729646	talin rod domain-containing protein 1-like
LOC119729647	organic cation transporter protein-like
LOC119729648	DNA annealing helicase and endonuclease ZRANB3-like
LOC119729649	disintegrin and metalloproteinase domain-containing protein 10-like
LOC119729650	disintegrin and metalloproteinase domain-containing protein 10-like
LOC119729651	solute carrier family 49 member 4-like
LOC119729653	MKI67 FHA domain-interacting nucleolar phosphoprotein-like
LOC119729654	protein SSUH2 homolog
LOC119729655	putative malate dehydrogenase 1B
LOC119729656	transmembrane protein 245-like
LOC119729657	E3 ubiquitin-protein ligase RNF113A-like
LOC119729658	mucin-2-like
LOC119729659	INO80 complex subunit B-like
LOC119729661	uncharacterized LOC119729661
LOC119729662	glycoprotein 3-alpha-L-fucosyltransferase A-like
LOC119729663	guanidinoacetate N-methyltransferase A-like
LOC119729664	E3 ubiquitin-protein ligase Praja-2-like
LOC119729665	endothelin-converting enzyme homolog
LOC119729666	uncharacterized LOC119729666
LOC119729667	poly(A) RNA polymerase, mitochondrial-like
LOC119729668	palmitoyltransferase ZDHHC23-B-like
LOC119729669	etoposide-induced protein 2.4-like
LOC119729670	uncharacterized LOC119729670
LOC119729671	uncharacterized LOC119729671
LOC119729672	beta-secretase 1-like
LOC119729673	protein SSUH2 homolog
LOC119729674	protein SSUH2 homolog
LOC119729675	KIF-binding protein-like
LOC119729676	alkyldihydroxyacetonephosphate synthase, peroxisomal-like
LOC119729677	vacuolar protein sorting-associated protein 16 homolog
LOC119729678	RPA-interacting protein B-like
LOC119729680	GH3 domain-containing protein-like
LOC119729681	probable indole-3-acetic acid-amido synthetase GH3.8
LOC119729682	uncharacterized LOC119729682
LOC119729683	uncharacterized LOC119729683
LOC119729684	WD repeat-containing protein 37-like
LOC119729686	uncharacterized LOC119729686
LOC119729687	costars family protein ABRACL-like
LOC119729688	sporozoite surface protein 2-like
LOC119729689	adenylate cyclase, terminal-differentiation specific-like
LOC119729690	methionine aminopeptidase 1D, mitochondrial-like
LOC119729691	mitogen-activated protein kinase SLT2/MPK1-like
LOC119729692	RNA guanine-N7 methyltransferase activating subunit-like
LOC119729693	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase-like
LOC119729695	sulfotransferase 1A1-like
LOC119729696	indian hedgehog protein-like
LOC119729697	40S ribosomal protein S27-like
LOC119729698	uncharacterized LOC119729698
LOC119729699	ras-related protein Rab-8A-like
LOC119729700	mitogen-activated protein kinase SLT2/MPK1-like
LOC119729701	26S proteasome non-ATPase regulatory subunit 3-like
LOC119729702	serine/arginine repetitive matrix protein 1-like
LOC119729704	atrial natriuretic peptide receptor 1-like
LOC119729705	uncharacterized LOC119729705
LOC119729706	Golgi-associated plant pathogenesis-related protein 1-like
LOC119729707	protein disulfide isomerase-like 2-2
LOC119729708	serine/threonine-protein kinase DCLK1-like
LOC119729709	phosphatidylinositol 4-phosphate 5-kinase type-1 beta-like
LOC119729710	proteasome subunit beta type-4-like
LOC119729711	isoamyl acetate-hydrolyzing esterase 1 homolog
LOC119729712	centrin-3
LOC119729713	homeobox protein MSX-1-like
LOC119729714	protein canopy homolog 2-like
LOC119729715	kinesin-like protein KIF23
LOC119729717	inactive tyrosine-protein kinase PEAK1-like
LOC119729718	testis-expressed protein 9-like
LOC119729719	exosome complex component CSL4-like
LOC119729720	uncharacterized LOC119729720
LOC119729721	mitogen-activated protein kinase SLT2/MPK1-like
LOC119729722	AN1-type zinc finger protein 6-like
LOC119729723	centrosomal protein of 152 kDa-like
LOC119729724	ralA-binding protein 1-like
LOC119729725	peroxisomal trans-2-enoyl-CoA reductase-like
LOC119729726	peroxisomal membrane protein PMP27-like
LOC119729727	uncharacterized LOC119729727
LOC119729728	uncharacterized LOC119729728
LOC119729729	dTDP-glucose 4,6-dehydratase-like
LOC119729730	protein transport protein Sec61 subunit gamma
LOC119729731	uncharacterized LOC119729731
LOC119729732	guanine nucleotide-binding protein G(q) subunit alpha
LOC119729733	collagen alpha-1(X) chain-like
LOC119729734	upstream-binding protein 1-like
LOC119729735	thiamin pyrophosphokinase 1-like
LOC119729736	proprotein convertase subtilisin/kexin type 5-like
LOC119729737	sulfotransferase 1A1-like
LOC119729739	non-homologous end-joining factor 1-like
LOC119729740	alternative oxidase, mitochondrial-like
LOC119729741	transmembrane emp24 domain-containing protein 7-like
LOC119729742	uncharacterized LOC119729742
LOC119729743	biogenesis of lysosome-related organelles complex 1 subunit 6-like
LOC119729744	aspartate/prephenate aminotransferase-like
LOC119729745	transmembrane and ubiquitin-like domain-containing protein 2
LOC119729746	V-type proton ATPase subunit F-like
LOC119729747	LIM and SH3 domain protein Lasp-like
LOC119729748	uncharacterized LOC119729748
LOC119729749	STAGA complex 65 subunit gamma-like
LOC119729750	ras-related protein Rab-11B
LOC119729751	uncharacterized LOC119729751
LOC119729752	multiple epidermal growth factor-like domains protein 11
LOC119729753	unconventional myosin-Va-like
LOC119729754	organic cation transporter protein-like
LOC119729755	nascent polypeptide-associated complex subunit alpha-like
LOC119729756	protein lifeguard 3-like
LOC119729757	organic cation transporter protein-like
LOC119729758	snaclec bothroinsularin subunit beta-like
LOC119729759	glycine receptor subunit beta-like
LOC119729760	solute carrier family 49 member 4 homolog
LOC119729761	solute carrier family 49 member 4 homolog
LOC119729762	solute carrier family 49 member 4 homolog
LOC119729763	solute carrier family 49 member 4-like
LOC119729764	macrophage mannose receptor 1-like
LOC119729765	uncharacterized LOC119729765
LOC119729766	histidine triad nucleotide-binding protein 1-like
LOC119729767	uncharacterized LOC119729767
LOC119729768	uncharacterized LOC119729768
LOC119729769	uncharacterized LOC119729769
LOC119729770	polysialoglycoprotein-like
LOC119729771	isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial-like
LOC119729772	collagen alpha-2(V) chain-like
LOC119729773	uncharacterized LOC119729773
LOC119729774	collagen alpha-1(I) chain-like
LOC119729775	protein canopy homolog 2-like
LOC119729776	uncharacterized LOC119729776
LOC119729778	uncharacterized LOC119729778
LOC119729780	dipeptidyl peptidase 9-like
LOC119729781	LHFPL tetraspan subfamily member 2a protein-like
LOC119729782	5-hydroxytryptamine receptor 1D-like
LOC119729783	uncharacterized LOC119729783
LOC119729785	perlucin-like protein
LOC119729788	tubulin beta chain-like
LOC119729789	serine-rich adhesin for platelets-like
LOC119729790	interphotoreceptor matrix proteoglycan 2-like
LOC119729792	protein jagged-1-like
LOC119729793	immunoglobulin-binding protein 1-like
LOC119729794	aspartate/prephenate aminotransferase-like
LOC119729795	uncharacterized protein C4orf45-like
LOC119729796	uncharacterized LOC119729796
LOC119729798	ras-related protein Rab-13-like
LOC119729799	leucine-rich repeat-containing protein 74B-like
LOC119729800	uncharacterized LOC119729800
LOC119729801	leucine-rich repeat-containing protein 71-like
LOC119729802	probable isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial
LOC119729803	STAGA complex 65 subunit gamma-like
LOC119729804	complement C1q tumor necrosis factor-related protein 7-like
LOC119729805	high mobility group protein 20A-like
LOC119729807	NAD(P) transhydrogenase, mitochondrial-like
LOC119729808	isocitrate dehydrogenase [NADP], mitochondrial-like
LOC119729809	ras-related protein Rab-22A-like
LOC119729810	uncharacterized LOC119729810
LOC119729812	CLIP-associating protein 1-B-like
LOC119729814	uncharacterized LOC119729814
LOC119729815	glycine receptor subunit alpha-2-like
LOC119729818	tripartite motif-containing protein 45-like
LOC119729819	tripartite motif-containing protein 45-like
LOC119729820	zonadhesin-like
LOC119729821	platelet glycoprotein Ib alpha chain-like
LOC119729822	zinc finger protein 782-like
LOC119729823	diacylglycerol kinase beta-like
LOC119729825	protein disulfide-isomerase A5-like
LOC119729826	uncharacterized LOC119729826
LOC119729827	unconventional myosin-Va-like
LOC119729829	mitogen-activated protein kinase kinase kinase 20-like
LOC119729830	low-density lipoprotein receptor-related protein 2-like
LOC119729831	uncharacterized LOC119729831
LOC119729833	transcriptional regulatory protein AlgP-like
LOC119729834	probable dehydratase PflD
LOC119729835	protein disulfide-isomerase A5-like
LOC119729836	aminopeptidase N-like
LOC119729837	uncharacterized LOC119729837
LOC119729838	uncharacterized LOC119729838
LOC119729839	polycystin-1-like
LOC119729840	uncharacterized LOC119729840
LOC119729841	macrophage mannose receptor 1-like
LOC119729842	uncharacterized LOC119729842
LOC119729843	C-type mannose receptor 2-like
LOC119729844	uncharacterized LOC119729844
LOC119729845	uncharacterized LOC119729845
LOC119729846	uncharacterized LOC119729846
LOC119729847	uncharacterized LOC119729847
LOC119729848	platelet glycoprotein Ib alpha chain-like
LOC119729849	uncharacterized LOC119729849
LOC119729850	uncharacterized LOC119729850
LOC119729851	NADPH oxidase 5-like
LOC119729852	fibrillin-2-like
LOC119729853	uncharacterized LOC119729853
LOC119729854	nuclear pore complex protein DDB_G0274915-like
LOC119729856	cell wall protein AWA1-like
LOC119729857	cell wall protein DAN4-like
LOC119729858	cell surface glycoprotein 1-like
LOC119729859	mucin-2-like
